num,longitude,latitude,ref
2625A,91.7706,29.2436,N
2626A,88.8876,29.2718,N
2627A,88.8931,29.2365,Y
2628A,92.0657,31.4846,N
2629A,92.0505,31.4733,N
2630A,80.1161,32.5,N
2631A,80.0895,32.5039,Y
2632A,94.3681,29.6376,N
2633A,94.3616,29.6616,N
2634A,106.9893,33.1842,Y
2635A,107.0154,33.0706,N
2636A,107.0089,33.1138,N
2637A,107.007,33.0323,N
2638A,109.7414,38.3344,Y
2639A,109.7456,38.2911,N
2640A,109.7289,38.2839,N
2641A,109.7336,38.2478,N
2642A,109.0318,32.6537,Y
2643A,109.0281,32.6939,N
2644A,109.0072,32.6975,N
2645A,109.9154,33.8715,N
2646A,109.966,33.8509,N
2647A,104.1724,36.5446,N
2648A,104.1465,36.5482,N
2649A,106.0055,34.343,Y
2650A,105.7205,34.5786,N
2651A,105.8945,34.5538,N
2652A,102.6201,37.9251,N
2653A,102.6469,37.9358,Y
2654A,100.4698,38.9524,N
2655A,100.4154,38.9422,N
2656A,106.6692,35.5461,N
2657A,106.7021,35.5307,N
2658A,98.5061,39.7443,N
2659A,98.4989,39.7256,N
2660A,107.6831,35.7289,Y
2661A,107.6325,35.7357,N
2662A,107.6364,35.7067,N
2663A,104.6241,35.5734,N
2664A,104.6194,35.5934,N
2665A,105.0822,33.3261,Y
2667A,103.2069,35.5993,N
2668A,103.2417,35.6057,N
2669A,102.9099,34.9841,N
2670A,102.1086,36.4997,N
2671A,100.9048,36.9639,N
2672A,102.0199,35.5102,N
2673A,100.6188,36.2866,N
2674A,100.2561,34.4714,N
2675A,97,33.0014,N
2676A,97.3731,37.3753,N
2677A,106.1532,37.9648,N
2678A,106.2025,37.9844,N
2679A,106.1856,37.9956,N
2680A,105.0025,37.4635,Y
2681A,105.18,37.0172,N
2682A,105.1971,37.5002,N
2683A,106.2319,36.1417,Y
2684A,106.2792,36.0022,N
2685A,106.2375,36.0211,N
2686A,89.1904,42.9418,N
2687A,89.1673,42.9559,N
2688A,93.5128,42.8172,N
2689A,93.4961,42.8328,N
2690A,88.1236,43.8886,Y
2691A,87.2997,44.0114,N
2692A,87.2717,44.0297,N
2693A,82.0485,44.8556,N
2694A,82.0806,44.8969,N
2695A,80.292,41.1694,N
2696A,80.2613,41.1551,N
2697A,76.1454,39.7142,N
2698A,76.0072,39.4467,N
2699A,75.9755,39.4694,N
2700A,75.9538,39.4682,N
2701A,79.9485,37.1152,Y
2702A,79.9117,37.1013,Y
2703A,81.2815,43.9404,N
2704A,81.2996,43.9174,N
2705A,81.3364,43.941,N
2706A,82.9994,46.7432,N
2707A,88.1214,47.9047,Y
2708A,88.1264,47.8517,N
2709A,86.0497,44.2967,N
2710A,86.0697,44.3075,N
2711A,87.5475,44.1756,N
2835A,101.7227,26.567,N
2842A,118.0936,24.5058,N
2845A,113.1569,36.1911,N
2846A,113.3221,23.1322,N
2858A,117.7918,39.2474,N
2859A,117.3747,38.9846,N
2860A,117.1589,39.0845,N
2862A,114.5481,38.0378,N
2865A,112.7195,37.6828,N
2866A,111.0522,35.0439,N
2867A,111.1283,37.51,N
2868A,126.4739,43.953,N
2869A,119.447,32.4155,N
2870A,119.4424,32.1873,N
2871A,121.6147,29.9017,N
2872A,120.7846,30.7525,N
2873A,120.0875,30.8955,N
2874A,117.0412,32.646,Y
2875A,115.784,32.8892,N
2876A,119.0841,36.7339,N
2877A,119.1641,36.6523,N
2878A,116.0072,36.4343,N
2880A,104.0219,30.6558,N
2881A,107.8908,26.5311,N
2882A,102.5389,24.3703,N
2883A,102.5381,24.3389,N
2884A,98.2672,39.7978,N
2885A,104.9339,33.3826,N
2894A,117.0566,32.6531,N
2897A,123.2444,41.7347,N
2900A,123.5953,41.9086,N
2902A,106.6351,30.4865,N
2907A,120.1844,30.8596,N
2914A,106.7677,31.8794,Y
2915A,106.7619,31.84139,N
2916A,117.49,30.66,Y
2919A,116.7022,39.5453,N
2920A,117.7116,24.506,N
2921A,120.5483,30.0003,N
2922A,117.1941,39.1067,N
2923A,113.2803,40.1114,Y
2924A,106.2266,38.4418,N
2925A,106.2757,38.4842,N
2926A,106.1015,38.497,N
2929A,114.8858,30.4519,N
2994A,119.6533,29.1128,N
2996A,118.283,33.965,N
2997A,119.8767,32.3289,N
2998A,119.3608,34.7519,Y
2999A,119.1478,34.5911,Y
3000A,119.3581,34.6972,N
3002A,119.9805,31.8174,N
3003A,120.0522,31.7748,N
3004A,120.1544,33.3663,N
3005A,117.1814,34.29,N
3006A,117.1694,34.1781,N
3007A,119.178,34.844,N
3008A,119.3608,34.7519,N
3009A,119.1478,34.5911,N
3010A,119.9025,31.7964,N
3012A,112.1849,31.0362,N
3014A,106.4958,29.5346,N
3015A,106.4037,29.5728,N
3016A,106.5507,29.4153,N
3018A,111.505,36.1014,N
3020A,117.2101,39.1699,N
3021A,115,35.7668,N
3022A,112.4433,34.6686,N
3025A,113.0477,23.6344,N
3026A,116.6183,23.6608,N
3027A,104.72,29.3427,N
3028A,104.776,29.3627,N
3033A,87.4651,43.4569,N
3034A,113.1076,41.0385,N
3035A,122.0931,46.0707,N
3036A,118.6904,37.4338,N
3038A,103.3758,23.368,N
3039A,111.1911,34.7829,N
3045A,109.9643,33.8471,N
3046A,115.9084,28.6062,N
3048A,119.5799,26.0936,N
3051A,117.3876,39.1488,N
3054A,113.9194,35.2847,N
3055A,101.7775,36.6428,N
3057A,121.5992,37.4014,N
3058A,119.2658,42.0353,N
3059A,117.7161,36.2049,N
3061A,119.7512,49.1577,N
3064A,117.6867,36.2171,N
3065A,101.9533,29.9972,N
3066A,116.2721,37.4379,N
3109A,115.0093,25.8613,N
3122A,105.9606,26.2611,Y
3123A,105.9408,26.2431,N
3124A,105.9439,26.2564,N
3125A,105.8983,26.2481,N
3128A,92.0506,31.4797,N
3129A,102.0306,36.5067,N
3131A,114.879,40.7993,N
3132A,119.610547,39.943889,N
3133A,106.5468,29.5654,N
3134A,113.8172,34.0339,N
3136A,104.2725,30.5589,N
3137A,103.8578,30.0744,N
3138A,111.7153,29.0289,N
3139A,111.6892,28.9881,N
3140A,111.6625,29.0531,N
3141A,114.3922,36.0878,N
3147A,114.3438,34.8106,N
3148A,103.8291,30.0564,N
3149A,115.0235,30.1578,N
3151A,114.375,27.8097,N
3153A,114.3877,30.4908,N
3164A,119.4686,32.3942,N
3165A,108.6594,34.2969,N
3169A,113.2725,35.2071,N
3170A,102.1864,38.5253,N
3171A,115.6071,34.4465,N
3173A,117.0598,30.5351,N
3178A,119.0587,36.721,N
3179A,102.7494,25.0119,N
3180A,99.7136,27.8094,N
3182A,106.7656,31.8545,N
3183A,106.7418,31.8654,N
3184A,126.6203,45.7219,N
3185A,112.5628,37.8964,N
3186A,103.7158,36.1058,N
3187A,116.9509,33.666,N
3188A,115.6683,37.7217,N
3190A,116.0254,29.6994,N
3191A,118.3225,33.9447,N
3192A,80.0903,32.5028,N
3194A,112.2747,30.3122,N
3195A,119.3633,32.3972,N
3200A,115.9819,36.4978,N
3201A,102.6486,37.9325,N
3204A,113.3025,33.73,N
3206A,114.9149,27.807,N
3207A,118.3118,32.3038,N
3208A,112.7283,38.4153,N
3209A,119.5231,26.6562,N
3210A,114.3644,34.7964,N
3216A,114.6622,24.5183,N
3237A,117.4918,30.6617,N
3238A,118.3954,31.3946,Y
3239A,125.0764,42.9078,N
3241A,103.7439,36.0842,N
3242A,103.9611,35.998,N
3245A,103.6633,36.533,N
3246A,103.6975,36.4789,N
3247A,104.955,33.371,N
3248A,98.2643,39.7724,N
3265A,121.4316,31.3322,N
3266A,121.8791,31.4662,N
3268A,121.3162,31.2838,N
3269A,121.3359,30.7456,N
3270A,121.4996,31.0739,N
3271A,121.2886,31.1663,N
3272A,121.2186,31.0378,N
3273A,121.3902,31.2059,N
3274A,121.7965,31.0507,N
3281A,115.9718,40.4529,N
3282A,113.3397,40.0597,N
3283A,109.9154,40.5685,N
3284A,106.813,39.7274,N
3285A,113.1376,40.9509,N
3286A,118.9359,42.3147,N
3287A,119.3842,32.1976,N
3288A,117.4754,34.4422,N
3289A,120.743,31.3188,N
3290A,120.5031,31.2774,N
3291A,121.067,32.062,N
3293A,120.1501,33.3367,N
3294A,119.5653,32.4222,N
3295A,120.1259,32.5099,N
3298A,113.5717,23.5491,N
3299A,113.3472,23.3692,N
3300A,113.2981,23.237,N
3301A,113.4256,23.1716,N
3302A,113.3942,23.0483,N
3303A,113.4922,22.8168,N
3304A,113.5342,22.7896,N
3305A,114.0731,22.559,N
3306A,114.0261,22.6198,N
3307A,114.1871,22.6451,N
3308A,113.3494,22.0569,N
3311A,113.1075,22.5647,N
3313A,112.4575,23.0166,N
3314A,114.4338,22.8134,N
3315A,116.1233,24.2991,N
3317A,111.9765,21.8947,N
3318A,112.9903,23.7403,N
3319A,113.7338,23.0381,N
3320A,116.403,23.5699,N
3323A,115.2773,40.9724,N
3324A,116.8136,38.3004,N
3325A,117.0365,39.3828,N
3326A,117.0296,39.0605,N
3327A,116.9638,38.9375,N
3328A,118.4209,31.3707,N
3329A,117.0108,32.5893,N
3330A,116.8873,33.9836,N
3331A,118.3267,32.2634,N
3332A,115.7633,33.8034,N
3333A,117.5627,30.695,N
3334A,117.5038,30.6243,N
3335A,113.3137,35.2641,N
3336A,113.2465,35.2373,N
3337A,113.8614,34.0442,N
3338A,113.843,34.0823,N
3339A,114.0012,33.0412,N
3340A,112.6005,34.6326,N
